Kanji,Furigana,Meaning
正解,せいかい,correct answer
研,けん,sharpen
宿,やど,inn (auberge)
空気,くうき,air
案を練る,あんをねる,make a plan
食前,しょくぜん,Before meals
夜中,よなか,midnight (en pleine nuit)
究,きゅう,research
洋酒,ようしゅ,Western liquor (alcool occidental)
ゲームの技,げーむのわざ,game skills (technique de jeu)
好意,こうい,Good feeling (sympathy)
寒気,さむけ,cold (air froid)
最強,さいきょう,strongest
静かに！,しずかに！,be quiet!
主に,おもに,mainly
前後,ぜんご,Before and after
姉,あね,sister
利く,きく,advantageous
水泳,すいえい,swimming (natation)
図書館,としょかん,library
花の都,はなのみやこ,Flower City
歩く,あるく,walk
お酒,おさけ,sake
学部,がくぶ,Faculty (université)
細かい点,こまかいてん,Fine point (point détaillé)
不便,ふべん,inconvenience (incommodité)
英文,えいぶん,phrase anglaise
心の友,こころのとも,Soul mate (ami du cœur)
無料,むりょう,free
速い,はやい,fast
大雪,おおゆき,heavy snow
答える,こたえる,answer
薬,くすり,medicine (médicaments)
部長,ぶちょう,manager (chef de club)
衣類,いるい,clothing
番組,ばんぐみ,program (tv)
朝,あさ,morning
特急,とっきゅう,express (train express)
急行,きゅうこう,express (train rapide)
素晴らしい,すばらしい,magnifique
名前,なまえ,name
試す,ためす,try
かけ声,かけこえ,shout (cri)
大奥,おおおく,Oooku (résidence des femmes de Shogun de l'époque d'EDO)
開始,かいし,"start, beginning(n.)"
部屋,へや,room (chambre)
お客さん,おきゃくさん,customer
実写,じっしゃ,live-action (photographie réelle)
台所,だいどころ,kitchen (salle)
部,ぶ,club
払,ふつ,"payement, pay"
低,てい,low
春休み,はるやすみ,spring break
運ぶ,はこぶ,"carry (porter, transporter)"
思い出,おもいで,memory
緑,みどり,green
寒け,さむけ,frissons
僕の弟,ぼくのおとうと,my younger brother
地下鉄,ちかてつ,subway
虹色,にじいろ,Rainbow-colored (irisé)
強力,きょうりょく,powerful
京,きょう,Kyoto
試験,しけん,test
太,た,Thick
計画,けいかく,plan
太平洋,たいへいよう,pacific ocean
宅,たく,home
店,みせ,shop
積雪,せきせつ,snowfall (enneigement)
客室,きゃくしつ,Guest room (chambre de client)
写真,しゃしん,photograph (photo)
絹糸,きぬいと,silk thread (fil de soie)
玉座,ぎょくざ,Throne
週,しゅう,week
指,ゆび,finger
走,そう,Running
家,いえ,House
趣味,しゅみ,hobby
交流,こうりゅう,échange
働,どう,Work
新宿駅,しんじゅくえき,Shinjuku Station
漢和,かんわ,chinois-japonais
若者,わかもの,youth
参考,さんこう,reference
郵送,ゆうそう,envoi postal
利,り,Interest
歌手,かしゅ,singer
漢字,かんじ,Chinese characters
有る,ある,exister
目玉,めだま,Eyeball
無い,ない,
通信,つうしん,communication
後,のち,"rear (derrière, après)"
池上さん,いけがみさん,Ikegami-san
湖の畔,みずうみのあぜ,lakeside
薬指,くすりゆび,ring finger
会場,かいじょう,venue (salle)
平泳ぎ,ひらおよぎ,breaststroke (brasse)
開始,かいし,"start, beginning"
石油,せきゆ,oil (pétrole)
雨が降る,あめがふる,It rains
希望を捨てないでね,きぼうをすてないでね,Don't give up hope
4番,4ばん,No. 4
同じ年,おなじねん,Same year (même âge)
黒,くろ,black
白い雲,しろいくも,White cloud
集合,しゅうごう,set (ensemble)
住む,すむ,live
黄金,おうごん,gold
若い,わかい,young
公園,こうえん,park
市,し,city
百円玉,ひゃくえんたま,Hundred yen coin
写す,うつす,copy
重,じゅう,heavy
遅,ち,slow (be late)
洋服,ようふく,occidental clothes
晴,せい,Sunny
歌,うた,song
走行,そうこう,Running (aller en courant)
酒に酔う,さけによう,Get drunk (of sake)
白,しろ,White
春が来る,はるがくる,spring is coming
服,ふく,clothes
白紙,はくし,blank paper
宿題,しゅくだい,homework
酒,さけ,Liquor (alcool)
地理,ちり,geography
姉妹都市,しまいとし,sister city (villes jumelées)
快晴,かいせい,temps magnifique
真,まこと,true
期待,きたい,"expectations (espoirs, attentes)"
春,はる,spring
強,きょう,strength
朝食,ちょうしょく,breakfast
昼休み,ひるやすみ,lunch break
不安,ふあん,anxiety (inquiétude)
問い合わせ,といあわせ,inquiry (demande de renseignements)
所々,ところどころ,Here and there (par endroit)
馬に乗る,うまにのる,ride a horse
作,さく,"Made by (faire, fabriquer)"
中止,ちゅうし,cancel
押,おう,push
看病,かんびょう,nursing (soin médical)
軽,けい,light (poids)
湖,みずうみ,lake
悲鳴,ひめい,scream
石川県,いしかわけん,Ishikawa Prefecture
詳細,しょうさい,detail
様子,ようす,state (apparence)
所持品,しょじひん,belongings (effets personnels)
料理,りょうり,cooking
番号,ばんごう,number
部活動,ぶかつどう,Extracurricular activities (club de l'école)
思,おもい,Thoughts
病人,びょうにん,sick person
合格,ごうかく,Passed (admission à l'examen)
知,ち,"knowledge, know"
習う,ならう,learn
作品,さくひん,œuvre
短気,たんき,short temper
時計,とけい,clock
朝ごはん,あさごはん,repas du matin
売店,ばいてん,magasin de vente
医学,いがく,medicine
親,おや,parent
メール送信,めーるそうしん,send e-mail
洋服,ようふく,occidental clothes
午後,ごご,afternoon
秋,あき,autumn
売り場,うりば,sales floor (rayon de vente)
天才,てんさい,genius
毎朝,まいあさ,Every morning
いい味,いいあじ,good taste
池,いけ,pond (étang)
治,おさむ,govern
復習,ふくしゅう,review (révision)
色々,いろいろ,various
住,じゅう,residence
動物,どうぶつ,animal
春が近い,はるがちかい,Spring is near
黄緑,きみどり,yellow green
むし暑い,むしあつい,chaleur étouffante
馬車,ばしゃ,carriage (carrosse)
泳ぐ,およぐ,swim
経,けい,"pass, go through"
軽い,かるい,light
問,とん,question (v.)
本当,ほんとう,true
念を押す,ねんをおす,rappeler avec attention
質問,しつもん,question
黄色,きいろ,yellow
折,おり,plier
走り書き,はしりがき,Scribble (gribouillis)
村,むら,village
研究,けんきゅう,the study (recherche)
近い,ちかい,close
通る,とうる,pass through
旅,たび,Journey
赤字,あかじ,deficit
渓谷,けいこく,valley
様,さま,"Mr, Mme (respectueux, envers un client par exemple)"
練,れん,"training, elaborate"
京阪地方,けいはんちほう,Région Kyoto-Osaka
世,よ,world
真実,しんじつ,truth
短い,みじかい,short
丸い玉,まるいたま,Round ball
広,こう,wide
小麦,こむぎ,wheat
星空,ほしぞら,starry sky
待つ,まつ,wait
毎度,まいど,Every time
病気,びょうき,disease
酒を飲む,さけをのむ,drink alcohol
才,さい,talent
早口,はやくち,fast talking
兄,あに,older brother
人工衛星,じんこうえいせい,Artificial satellite
寒い,さむい,cold
閉会,へいかい,clôture de réunion
漢,かん,chinois
一歩,いっぽ,one step (いっぽ)
書店,しょてん,bookstore (librairie)
終日,しゅうじつ,all day
楽しい,たのしい,fun
閉,へい,closed
船/舟,ふね/ふね,ship - boat
猛暑,もうしょ,canicule
全部,ぜんぶ,All
質問,しつもん,question
お姉さん,おねえさん,older sister (of someone)
上京,じょうきょう,Moving to capital
社会,しゃかい,society
文字,もじ,écriture
語,ご,"word, raconter"
運命,うんめい,destiny
赤,あか,red
旅人,たびびと,traveller
主人,しゅじん,master (also husband)
歩道,ほどう,sidewalk
夕飯,ゆうはん,Dinner
有名,ゆうめい,famous
観客,かんきゃく,audience (spectateur)
送,そう,Sending
作文,さくぶん,composition de phrase
海,うみ,"Ocean, sea"
麦,むぎ,wheat
早起き,はやおき,early riser
暑中,しょちゅう,pendant la chaleur de l'été
集める,あつめる,collect (rassembler)
客,きゃく,customer
無理,むり,Impossible
都合,つごう,convenience
妻,つま,wife
品質,ひんしつ,quality
青空,あおぞら,blue sky
晴天,せいてん,clear sky(beau temps)
谷山,たにやま,valley and mountain
知る,しる,know
話題,わだい,topic
正午,しょうご,noon (midi)
晴れた,はれた,il fait beau
大丈夫,だいじょうぶ,it's okay
兄貴,あにき,Big brother
夜行バス,やこうばす,Night bus
遅い,おそい,"slow (lent, tardif)"
晩ご飯,ばんごめし,Dinner
大麦,おおむぎ,barley (orge)
毛,け,hair
問題,もんだい,problem
題,だい,subject
早,そう,"early, fast"
ご飯,ごめし,cooked rice (repas)
計,けい,mesurer
玉ねぎ,たまねぎ,onion
広い海,ひろいうみ,Wide Ocean
特別,とくべつ,special
発着,はっちゃく,Arrival and departure
暑,しょ,heat
通,とおり,pass
数,かず,number
虫,むし,insect
今晩は,こんばんは,bonsoir
着,ちゃく,arrival
寒,かん,cold
虫歯,むしば,tooth decay
玉,たま,ball
切,せつ,Cut
洋食,ようしょく,Western food (cuisine occidentale)
知り合い,しりあい,"acquaintance (connaissance, ami)"
治る,なおる,Heal
馬,うま,Horse
所,ところ,ところ、ショ、ジョ
族,ぞく,tribe
発つ,たつ,depart
止,し,Stop
意思,いし,intention (volonté)
世界史,せかいし,World history
地区,ちく,district
強いチーム,つよいちーむ,Strong team
順番,じゅんばん,order (mon tour)
本質,ほんしつ,essence
同じ,おなじ,same
通過,つうか,passage
奥歯,おくば,back teeth (molaire)
遠足,えんそく,excursion
衣,ころも,clothing
恋文,こいぶみ,Love Letter
秋分の日,しゅうぶんのにち,autumnal equinox day
時が経つ,ときがへつ,time passes
発音,はつおん,pronunciation
朝日,あさひ,soleil du matin
羽田空港,はねだくうこう,Haneda airport
奥,おく,Back
軽食,けいしょく,Snacks (repas léger)
太陽,たいよう,Sun
便り,たより,news (courrier)
楽,らく,amusant
百才,ひゃくさい,100 years old
青春,せいしゅん,youth
宿泊,しゅくはく,stay (hébergement)
当日,とうじつ,On the day
王,おう,king
考える,かんがえる,think (réfléchir)
姉,あね,my sister
映る,うつる,to be project
技,わざ,technique
到着,とうちゃく,arrival
静,せい,Silence
習,しゅう,learn
乗る,のる,get on
試練,しれん,épreuve
鉄道,てつどう,railway
旅行者,りょこうしゃ,Traveler
音楽,おんがく,music
急,きゅう,Sudden
低い,ひくい,low
計画,けいかく,plan
当,とう,Current
速度,そくど,speed
始,し,beginning
髪の毛,かみのけ,hair
計る,はかる,measure
英,えい,English
景色,けしき,paysage
思う,おもう,think
品,ひん,Goods (des biens)
指示,しじ,"indication, directive"
育成,いくせい,Development (formation)
奥さん,おくさん,(your) Wife
公立,こうりつ,public
長所,ちょうしょ,"mérite, qualité"
この辺り,このあたり,alentours
工,こう,engineering
交,こう,dodge
乗,じょう,Squared
入院,にゅういん,hospitalization
遠慮,えんりょ,"discretion, gêne"
理由,りゆう,reason
雑草,ざっそう,weed (mauvaises herbes)
服,ふく,clothes
奥にいます,おくにいます,Je suis au fond de ...
一人旅,ひとりたび,Traveling alone (ひとりたび)
意味,いみ,meaning
界,かい,world
信号,しんごう,"signal, feu de signalisation"
日毎,ひごと,de jour en jour
国歌,こっか,national anthem
切る,きる,cut
重い煮物,おもいにもの,Heavy stew (bagage lourd)
持,じ,Hold
降水,こうすい,precipitation
研究所,けんきゅうしょ,Research Institute
乗客,じょうきゃく,passenger (voyageur)
同様,どうよう,similar
美術館,びじゅつかん,art museum
正,せい,Positive
積乱雲,せきらんくも,Cumulonimbus
中心,ちゅうしん,center
労働,ろうどう,labor (travail)
旅の宿,たびのやど,Travel Inn
大使館,たいしかん,embassy
気持ち,きもち,feeling
住所,じゅうしょ,(postal) adress
近,きん,near
羽,はね,wing
駅,えき,station
答,こたえ,Answer
世紀,せいき,century
世界,せかい,world
工場,こうじょう,factory
乗り物,のりもの,vehicle
高速,こうそく,high speed
風船,ふうせん,balloon
大都市,だいとし,Big cities
強風,きょうふう,strong wind
工事,こうじ,construction
大阪市,おおさかし,Osaka city
近所,きんじょ,neighborhood
北区,きたく,arrondissement du Nord
不利,ふり,Unfavorable (inconvénient)
政,まつりごと,Government
場所,ばしょ,place
世話,せわ,"care (soin, service)"
一時間毎,いちじかんまい,Every hour
画,が,picture
近日,きんじつ,Coming soon
不満,ふまん,dissatisfaction
大好き,だいすき,really like
姉妹,しまい,sisters (little and older sister)
教える,おしえる,teach
お正月,おしょうがつ,New Year
薬局,やっきょく,pharmacy
育てる,そだてる,"nurture (élever, cultiver)"
繊細な絵,せんさいなえ,delicate painting
育,いく,Education
品物,しなもの,"goods (objets, articles)"
帰宅,きたく,going home
番,ばん,number
数字,すうじ,numbers
動,どう,motion
電池,でんち,battery (pile)
病院,びょういん,hospital
拾,しゅう,pick up
海外旅行,かいがいりょこう,overseas trip
遠,えん,far
声,こえ,voice
走る,はしる,Run
遠い国,とおいくに,Faraway Country
京の都,きょうのみやこ,Kyoto
AI技術,AIぎじゅつ,AI technology
有無,うむ,presence or absence
真っ赤,まっか,bright red (tout rouge)
文,ぶん,Sentence
心,こころ,heart
短,たん,short
糸,いと,(fil)
音声,おんせい,audio
急ぐ,いそぐ,to hurry
社,しゃ,company
雪,ゆき,snow
銀行,ぎんこう,Bank
運動,うんどう,motion (exercices physiques)
区,く,Ward (zone)
鉄,てつ,iron
研修,けんしゅう,training (stage)
捨て,すて,Throw away
一糸乱れず,いっしみだれず,en ordre parfait
日本語,にほんご,Japanese
広告,こうこく,advertisement
広い家,ひろいいえ,Large house
知識,ちしき,knowledge
試合,しあい,"game (match, combat)"
治療,ちりょう,treatment (soins)
空,そら,Sky
細,さい,Thin (fin)
歌声,うたごえ,singing voice
銀色,ぎんいろ,silver color
折り紙,おりがみ,origami (pliage de papier)
客船,きゃくせん,Cruise ship
若年,じゃくねん,youth (âge jeune)
老若男女,ろうじゃくだんじょ,Men and women of all ages
交差点,こうさてん,intersection
同,どう,same
川辺,かわべ,riverside
雪が溶ける,ゆきがとける,The snow melts
この辺,このへん,"par ici, ce quartier"
本屋,ほんや,book store
早速,さっそく,tout de suite
送る,おくる,send
働く,はたらく,work
勤勉,きんべん,diligence (hard work)
村人,むらびと,villager
星,ほし,Star
日の丸,ひのまる,drapeau japonais
写,しゃ,photo
散歩,さんぽ,stroll (promenade)
始める,はじめる,start
経済,けいざい,economy
水と油,みずとあぶら,Oil and water
毛布,もうふ,blanket (couverture)
前,まえ,Before
字数,じすう,Word count (nombre de lettres)
私,わたし,"I, me"
最低,さいてい,lowest
映画,えいが,movie
味,あじ,taste
家族,かぞく,family
服従,ふくじゅう,obedience
後で,あとで,later
商品,しょうひん,merchandise
不,ふ,No
特技,とくぎ,Special skill
麦畑,むぎばたけ,wheat field
験,けん,Experience
昼食,ちゅうしょく,lunch (dejeuner)
青,あお,blue
練習,れんしゅう,practice
歴,れき,history
品川,しながわ,Shinagawa
雲の上,くものうえ,Above the Clouds
思考,しこう,thinking
着く,つく,arrive
支払い,しはらい,payment
質,しつ,quality
打撲,だぼく,confusion
油,あぶら,oil
便,びん,courrier
若,じゃく,young
集,しゅう,collection
白ワイン,しろわいん,White wine
止める,やめる,stop
若者,わかもの,youth
晴れ,はれ,beau temps
教,きょう,teaching
会社,かいしゃ,company
禁止,きんし,interdiction
衣食住,いしょくじゅう,"Food, clothing and shelter"
太る,ふとる,Get fat
特,とく,Special
紙,かみ,paper
作文,さくぶん,composition
同時,どうじ,simultaneous
弟さん,おとうとさん,(your) Younger brother
谷,たに,valley
大切な,たいせつな,important
屋外,おくがい,outdoors (extérieur)
日本海,にほんかい,Sea of Japan
今週,こんしゅう,this week
親しい友,したしいとも,Close friend
経由,けいゆ,"via, transit"
御池,おいけ,Oike (lieu)
毎日,まいにち,every day
毎週,まいしゅう,weekly
今夜,こんや,tonight
打,だ,Hit
映画,えいが,movie
琵琶湖,びわこ,Biwa lake
午後,ごご,afternoon
交わる,まじわる,intersect (se croiser)
大阪府,おおさかふ,Osaka Prefecture
日本史,にほんし,Japanese history (にほんし)
出発,しゅっぱつ,departure
字,じ,character
映,えい,"project, shine"
雪が降る,ゆきがふる,it's snowing
私の家,わたしのいえ,my house
お金を拾う,おきんをひろう,pick up money
理,り,Reason
当たる,あたる,"hit (gagner, attaquer)"
病,びょう,disease
鳥が鳴く,とりがなく,birds sing
若年,じゃくねん,youth (jeune âge)
訓練,くんれん,training
湖水,こすい,lake water
黒板,こくばん,blackboard (tableau noir)
貴族,きぞく,nobility
黒字,くろじ,"surplus (excédent, bénéfice)"
家具,かぐ,furniture (meuble)
赤ちゃん,あかちゃん,baby
手押し,ておしし,Hand-pushed
正しい,ただしい,correct
歌う,うたう,sing
全便,ぜんびん,envoi précédent
泳,えい,"swimming, swim"
私立,しりつ,private
遅れる,おくれる,be late
夫,おっと,husband
便利,べんり,convenience (pratique)
木の舟,きのふね,Wooden Boat
解答,かいとう,answer (réponse)
雷が鳴る,かみなりがなる,un orage retentit
麦茶,むぎちゃ,barley tea (thé d'orge)
空っぽ,からっぽ,empty
緑茶,りょくちゃ,Green Tea
ごみを捨てる,ごみをすてる,throw away garbage
都合,つごう,convenience
降,こう,rain
午,うま,(définir avant ou après midi)
洋,ひろし,Western (occidental)
屋,や,shop
都道府県,とどうふけん,les 47 départements japonais
理科,りか,Science
衣服,いふく,clothes
歴史,れきし,history
海水,かいすい,sea water
青春,せいしゅん,youth
王様,おうさま,King
開店,かいてん,ouverture de magasin
今朝,けさ,this morning
若い,わかい,young
早朝,そうちょう,early morning
毛糸,けいと,laine
鳴,めい,"sound, sing"
緊急,きんきゅう,emergency
才能,さいのう,talent
勉強,べんきょう,study
鳥の羽,とりのはね,Bird feather
文化,ぶんか,culture
赤道,せきどう,equator
渋谷,しぶや,Shibuya
政府,せいふ,government
政治,せいじ,politics
お兄さん,おにいさん,(your) brother
和服,わふく,Japanese clothes
好物,こうぶつ,favorite food
首都,しゅと,capital
考,こう,Thoughts
使,し,"utiliser, employer"
都会,とかい,city
海辺,うみべ,seaside (bord de mer)
細い字,こまいじ,fine print (écriture fine)
五室,ごしつ,Five Rooms
旅をする,たびをする,Travel (faire un voyage)
動く,うごく,move
運がいい,うんがいい,good luck
雲海,うんかい,sea of clouds
特に,とくに,especially
売,ばい,Sale
問答,もんどう,question and answer
お宅,おたく,Your house (chez vous)
数える,かぞえる,count
売る,うる,sell
火星,かせい,Mars
私の兄,わたしのあに,My brother
使う,つかう,use
船,ふね,ship
店員,てんいん,employé de magasin
合,ごう,s'ajuster
史,し,history
閉店,へいてん,fermeture de magasin
国を治める,くにをおさめる,govern the country
有料,ゆうりょう,Paid
経歴,けいれき,Career
醤油,しょうゆ,soy sauce
重ねる,かさねる,overlap (superposer)
白い糸,しろいいと,white thread
病い,びょうい,Illness
月と星,がつとほし,Moon and Stars
室,しつ,room
代金を払う,だいきんをはらう,pay the price
遅刻,ちこく,behind time (retard)
主語,しゅご,subject (grammar)
問題,もんだい,problem
主,しゅ,main (principal)
院,いん,Hospital
公,こう,public
女王,じょおう,queen
春夏秋冬,しゅんかしゅうとう,spring summer fall winter
夫妻,ふさい,husband and wife
ごみを拾う,ごみをひろう,Picking up trash
重要,じゅうよう,important
都,みやこ,capital
政治,せいじ,politics
昆虫,こんちゅう,insect
映像,えいぞう,picture
緑の大地,みどりのだいち,terre verte
親切,しんせつ,Kindness
病気が治る,びょうきがなおる,I got better (guérir d'une maladie)
午前,ごぜん,morning
寒風,かんぷう,cold wind
屋上,おくじょう,rooftop (sur le toit)
館,かん,Hall
昼,ひる,noon
夜,よる,night
親友,しんゆう,Close friend (meilleur ami)
教室,きょうしつ,classroom
開ける,ひらける,Open
試験,しけん,test
日本酒,にほんしゅ,Japanese sake (alcool japonais)
旅館,りょかん,auberge japonaise
この前,このまえ,l'autre fois
号,ごう,ゴウ／issue
銀,ぎん,Silver
私の店,わたしのみせ,my store
雷鳴,らいめい,thunder (tonnerre)
心を打たれる,こころをうたれる,être impressionné
待,たい,Wait
和服,わふく,Japanese clothes
辺,へん,side
人差し指,ひとさししゆび,index finger
夫妻,ふさい,husband and wife
研究者,けんきゅうしゃ,researcher
世の中,よのなか,world
飛行船,ひこうせん,airship (dirigeable)
飯,めし,food
最後,さいご,last
済む,すむ,Finished (se terminer)
夫婦,ふうふ,couple
歩,ほ,walk
暗黒,あんこく,darkness (ténèbres)
文学,ぶんがく,literature
暑い日,あついにち,a hot day
真っ青,まっさお,deep blue (tout bleu)
料金,りょうきん,Fee
府,ふ,prefecture
交番,こうばん,police box
晴れの日,はれのにち,a sunny day
医者,いしゃ,doctor
交通,こうつう,traffic
足を折る,あしをおる,break a leg
問い,とい,a question
美味しい,おいしい,delicious
試,し,trial
丸,まる,circle
集中,しゅうちゅう,concentration
支払い済み,しはらいすみ,Paid
